GID,NUMSTAT,IDENT,ADRESSE,COMMUNE,DATESERV,LIGNCORR,NBSUPPOR,NOM,TARIF,TERMBANC,TYPEA,GEOM_O,CDATE,MDATE
495,40,49,rue Esprit des Lois,BORDEAUX,,B/Citéis 47,20,Grand Theatre,VLS,OUI,VCUB,0,20140923100656,20140923100656
545,101,105,quai maréchal Lyautey,BORDEAUX,,C/Citéis 47,20,Pl. Jean Jaures,VLS,OUI,VCUB,0,20140923100700,20140923100700
546,26,38,247 boulevard Maréchal Leclerc,BORDEAUX,,24/Lianes 9,16,Xaintrailles,VLS,OUI,VCUB,0,20140923100700,20140923100700
547,16,12,"avenue Thiers, face au Parc Relais",BORDEAUX,,A/28/Flexo 51/Flexo 52/Lianes 10,18,Galin,VLS,OUI,VCUB,0,20140923100700,20140923100700
548,55,64,35 cours Evrard de Fayolle,BORDEAUX,,C/Lianes 15/72,16,Camille Godard,VLS,OUI,VCUB,0,20140923100700,20140923100700
549,71,80,"avenue des Griffons, terminus bus",LORMONT,,A/Lianes 7/90/Flexo 50,18,La Gardette,VLS PLUS,OUI,VCUB,0,20140923100700,20140923100700
550,149,252,9 Avenue de la Résistance,LORMONT,,A/Citéis 40,20,Lauriers,VLS PLUS,OUI,VCUB,0,20140923100700,20140923100700
551,91,7,face au 4 rue Georges Clémenceau,LE HAILLAN,,30/Lianes 3/701/702,16,Mairie du Haillan,VLS PLUS,OUI,VCUB,0,20140923100700,20140923100700
552,97,1,101 rue Joseph Brunet,BORDEAUX,,B/76,20,Claveau,VLS PLUS,OUI,VCUB,0,20140923100700,20140923100700
553,126,126,82 quai Paludate,BORDEAUX,,Lianes 11/58,12,Quai de Paludate,VLS,OUI,VCUB,0,20140923100700,20140923100700
554,76,84,face au 564 route de Toulouse,VILLENAVE-D'ORNON,,89/Lianes 15/Lianes 5,21,Pont de la Maye,VLS PLUS,OUI,VCUB,0,20140923100700,20140923100700
555,145,250,Cours de Québec,BORDEAUX,,C,17,Berges du Lac,VLS PLUS,OUI,VCUB,0,20140923100700,20140923100700
556,51,60,rue Jean Artus,BORDEAUX,,Lianes 9,20,Place Ampere,VLS,OUI,VCUB,0,20140923100700,20140923100700
557,142,251,Face au 160 avenue de Verdun,MERIGNAC,,Lianes 1,20,Bourranville,VLS,OUI,VCUB,0,20140923100700,20140923100700
558,18,9,78 rue du Palais Gallien,BORDEAUX,,83/Lianes 1/Lianes 16/Lianes 2/Lianes 3,14,Huguerie,VLS,OUI,VCUB,0,20140923100700,20140923100700
559,31,10,face au 7 rue de l'église,BORDEAUX,,Citéis 41/Corol 33/Lianes 2,16,Cauderan,VLS PLUS,OUI,VCUB,0,20140923100700,20140923100700
560,93,11,3 avenue de Picot,EYSINES,,72/Lianes 2/Lianes 5/Spécifique 78/Spécifique 79,16,Eysines Centre,VLS PLUS,OUI,VCUB,0,20140923100700,20140923100700
561,72,15,"avenue Jean Zay, au niveau de la station Tram Jean Zay",CENON,,A/27/Flexo 51,24,Jean Zay,VLS PLUS,OUI,VCUB,0,20140923100700,20140923100700
562,4,20,"place Vercingétorix, face au 37 place des martyrs de la résistance",BORDEAUX,,83/Lianes 1/Lianes 2/Lianes 3/Lianes 16,20,St Seurin,VLS,OUI,VCUB,0,20140923100700,20140923100700
563,52,61,"cours de Luze, face à la mairie annexe",BORDEAUX,,Lianes 15,18,Place de l'Europe,VLS,OUI,VCUB,0,20140923100700,20140923100700
564,48,57,54 boulevard George V,BORDEAUX,,Lianes 9/Lianes 11/Lianes 4,18,Barriere de Pessac,VLS,OUI,VCUB,0,20140923100700,20140923100700
565,54,63,28 rue St Vincent de Paul,BORDEAUX,,TER/C/Lianes 9/Lianes 10/Lianes 11/Lianes 16,22,Rue St Vincent de Paul,VLS,OUI,VCUB,0,20140923100700,20140923100700
566,5,21,face au 40 place Gambetta,BORDEAUX,,56exp/83/Lianes 1/Lianes 2/Lianes 3/Lianes 4/Lianes 5/Lianes 6/Lianes 15/Lianes 16/601,20,Place Gambetta,VLS,OUI,VCUB,0,20140923100700,20140923100700
567,10,25,115 boulevard Antoine Gautier,BORDEAUX,,A/Lianes 9,22,Stade Chaban Delmas,VLS,OUI,VCUB,0,20140923100700,20140923100700
568,11,26,face au 108 boulevard du Pdt Wilson,BORDEAUX,,Lianes 1/Lianes 9/Lianes 16/Spécifique 74/,20,Cite Administrative,VLS,OUI,VCUB,0,20140923100700,20140923100700
569,13,28,6 avenue Charles de Gaulle,BORDEAUX,,83/Lianes 2/Lianes 3/Lianes 9,20,Barriere St Medard,VLS,OUI,VCUB,0,20140923100700,20140923100700
570,20,33,face au 1 place des Grands Hommes,BORDEAUX,,B/Citéis 47,20,Grands Hommes,VLS,OUI,VCUB,0,20140923100700,20140923100700
571,22,35,Place Pey Berland (trémie de sortie du parking),BORDEAUX,,A/B,33,Hotel de Ville,VLS,OUI,VCUB,0,20140923100700,20140923100700
572,27,39,entrée de l'université Bordeaux II / Maternité Pellegrin,BORDEAUX,,Citéis 41/Lianes 11/Lianes 8,20,Bordeaux II,VLS,OUI,VCUB,0,20140923100700,20140923100700
573,30,41,"place Mondésir, face à La Poste",MERIGNAC,,Citéis 41/Citéis 42/Lianes 1,18,La Glaciere Mondesir,VLS,OUI,VCUB,0,20140923100700,20140923100700
574,39,48,face au 9 cours du 30 Juillet,BORDEAUX,,B/C/26/29/83/Citéis 47/Lianes 1/Lianes 2/Lianes 3,40,Quinconces,VLS,OUI,VCUB,0,20140923100700,20140923100700
575,37,46,60 cours de Verdun,BORDEAUX,,C/26/29/56 exp/Lianes 15/Lianes 4/Lianes 5/Lianes 6,20,Jardin Public,VLS,OUI,VCUB,0,20140923100700,20140923100700
576,57,66,face au 9 rue Sicard,BORDEAUX,,C/Lianes 15/Lianes 4,16,Eglise St Louis,VLS,OUI,VCUB,0,20140923100700,20140923100700
577,63,72,face au 10 av du Pdt F. Mitterrand,FLOIRAC,,Lianes 10/28/Corol 32/Flexo 52,18,François Mitterrand,VLS PLUS,OUI,VCUB,0,20140923100700,20140923100700
578,64,73,"rue Henri Dunant, square Marie Louis Sue",BORDEAUX,,Citéis 45/Spécifique 80,18,La Benauge,VLS,OUI,VCUB,0,20140923100700,20140923100700
579,66,75,"quai de Queyries, face à la Gare d'Orléans",BORDEAUX,,91/92/Citéis 45/Flexo 50,20,Gare d'Orleans,VLS,OUI,VCUB,0,20140923100700,20140923100700
580,81,88,33 av du Général Leclerc,PESSAC,,Citéis 44/Flexo 48/Lianes 4,18,L. Morin Cazalet,VLS PLUS,OUI,VCUB,0,20140923100700,20140923100700
581,89,96,face au 12 avenue du Maréchal Leclerc,MERIGNAC,,A/30/Citéis 42/Corol 33/Corol 35/Lianes 11/603/701/702,21,Merignac Centre,VLS PLUS,OUI,VCUB,0,20140923100700,20140923100700
582,77,85,place Bernard Roumegoux,GRADIGNAN,,Corol 36/Lianes 10/505,20,Pl. Bernard Roumegoux,VLS PLUS,OUI,VCUB,0,20140923100704,20140923100704
